Observation ID,Paper ID,Sample / condition,Dopant (at.%),Fabrication technique,Deposition temp (C),Post-deposition temp (C),Vacuum pressure,Atmosphere,Gas mix,Thickness (nm),Mobility (cm^2/Vs),Resistivity (mohm·cm),Sheet resistance (ohm/sq),Carrier concentration (cm^-3),n at wavelength,k at wavelength,Wavelength (nm),Work function / vacuum level (eV),Electron affinity (eV),Fermi energy (eV),Valence band edge (eV),Bandgap (eV),Current density (mA/cm^2),FF (%),Efficiency (%),Oxygen vacancies / notes,Property name,Property value,Property unit,Source figure/table,Confidence,Comments,Column1,Column2
O1,Manoharan_2015,Undoped baseline,0,Spray pyrolysis,450,,,Air,,,,,,,,,,,,,,3.5,,,,,Optical bandgap,3.5,eV,Abstract,High,Baseline bandgap reported in the abstract; same paper reports a grain-size trend from 25 to 15.75 nm across 0-11 at.% Zr.,,
O2,Manoharan_2015,Champion doped sample,7,Spray pyrolysis,450,,,Air,,,,0.64,,2.5e+20,,,,,,,,,,,,,Electrical transport,6.4e-4 Ω·cm; 2.5e20 cm^-3,ohm·cm / cm^-3,Abstract,High,Abstract reports the best resistivity and carrier concentration at 7 at.% Zr.,,
O3,Manoharan_2015,High-doping endpoint,11,Spray pyrolysis,450,,,Air,,,,,,,,,,,,,,3,,,,,Optical bandgap,3,eV,Abstract,Medium,Abstract reports bandgap decreasing to 3.0 eV as Zr concentration increases.,,
O4,Zhang_2019,Minimum-vacancy sample,10,Spin coating / solution processed,,400,,Air,,,,,,,,,,,,,,,,,,26.09,Oxygen vacancies,26.09,%,Conclusions / Abstract,High,Conclusions report the minimum oxygen vacancy fraction and minority carrier concentration at 10 at.% Zr after annealing at 400 C.,,
O5,Morales-Masis_2018,"Optimized annealed IO:Zr film, r(O2)=0.11%",,RF magnetron sputtering,25,200,<1e-6 mbar base pressure,"Air anneal, 20 min",r(O2)=0.11%; no intentional H2O,100,100,0.2496603629784305,25,250000000000000000000,,,,,,,,3.9,,,,,Optimized film transport and optical gap,~100 cm^2/Vs; ~2.5e20 cm^-3; ~25 ohm/sq; 3.9–4.0 eV,mixed,Text; Fig. 1; Fig. 2,High,"Headline values explicitly reported in the paper text; bandgap is reported as a range for annealed samples. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O6,Han_2023,Room-temperature sputtered film,,RF sputtering,25,,,Broadband transparent electrode,O2/Ar varied from 1% to 10% (reported range),,29.6,0.332,25.55,,,,1200,4.33,,,,,,,28.28,,Optoelectronic performance,29.6 cm^2/Vs; 3.32e-4 ohm·cm; 25.55 ohm/sq; 81.55%; 4.33 eV; 28.28%,mixed,Abstract / Supporting info,High,Supporting information mentions EFermi-EVBM and optical bandgap plots; abstract provides the reported headline values.,,
O7,Micali_2024,Thinnest film,0.6,RF-magnetron co-sputtering,25,200,,Room temperature deposition; annealed,,15,20,0.5,,,,,,,,,,,,,,,Electrical / optical,5e-4 ohm·cm; 20 cm^2/Vs; 80%,mixed,Abstract,High,Abstract reports that the 15 nm film had the best electrical performance and ~80% transmittance after annealing at 200 C.,,
O8,Micali_2024,Thicker film,0.9,RF-magnetron co-sputtering,25,200,,Room temperature deposition; annealed,,90,,,,,,,,,,,,,,,,,Device response,EQE comparable to standard ITO,qualitative,Abstract,High,Abstract states that 90 nm IZrO films gave EQE comparable to standard ITO when used as front electrodes.,,
O9,Morales-Masis_2018,"As-deposited, r(O2)=0.000%",,RF magnetron sputtering,25,,<1e-6 mbar base pressure,As deposited,r(O2)=0.000%,100,6.3,4.145254084120849,,239000000000000000000,,,,,,,,,,,,,Carrier concentration and Hall mobility,2.39e20 cm^-3; 6.3 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
O10,Morales-Masis_2018,"As-deposited, r(O2)=0.025%",,RF magnetron sputtering,25,,<1e-6 mbar base pressure,As deposited,r(O2)=0.025%,100,17.7,0.7392612816047524,,476999999999999930000,,,,,,,,,,,,,Carrier concentration and Hall mobility,4.77e20 cm^-3; 17.7 cm^2/Vs,cm^-3 / cm^2/Vs,Fig. 1 digitized CSV,Medium,"Calibrated graphical extraction from Figure_01_data.csv; approximate rather than author-supplied raw data. Resistivity calculated from carrier concentration and mobility using ρ = 1/(q·μ·N), q = 1.602176634e-19 C; stored in mΩ·cm.",,
