"timestamp","oldPdf","newPdf","oldMarkdown","newMarkdown","status","reason","doi"
"2026-08-13T14:25:57.2679595+01:00","3D optical simulation formalism OPTOS for textured silicon solar cells.pdf","2015_Tucher_Blasi_OPTEXP_3D-optical-simulation.pdf","3D optical simulation formalism OPTOS for textured silicon solar cells.md","2015_Tucher_Blasi_OPTEXP_3D-optical-simulation.md","renamed","","10.1364/OE.23.0A1720"
"2026-08-13T14:25:57.2679595+01:00","A comparison of ray tracing and view factor simulations of locally resolved rear irradiance with the experimental values.pdf","2020_Berrian_Libal_PIP_comparison-ray-tracing.pdf","A comparison of ray tracing and view factor simulations of locally resolved rear irradiance with the experimental values.md","2020_Berrian_Libal_PIP_comparison-ray-tracing.md","renamed","","10.1002/pip.3261"
"2026-08-13T14:25:57.2679595+01:00","A comprehensive MATLAB Simulink PV system simulator with partial shading capability based on two-diode model.pdf","2011_Ishaque_Syafaruddin_SOLENER_comprehensive-MATLAB.pdf","A comprehensive MATLAB Simulink PV system simulator with partial shading capability based on two-diode model.md","2011_Ishaque_Syafaruddin_SOLENER_comprehensive-MATLAB.md","renamed","","10.1016/j.solener.2011.06.008"
"2026-08-13T14:25:57.2679595+01:00","A continuous form of the Perez diffuse sky model for forward and reverse transposition.pdf","2024_Driesse_Perez_SOLENER_continuous-form-Perez.pdf","A continuous form of the Perez diffuse sky model for forward and reverse transposition.md","2024_Driesse_Perez_SOLENER_continuous-form-Perez.md","renamed","","10.1016/j.solener.2023.112093"
"2026-08-13T14:25:57.2679595+01:00","A novel datasheet-based parameter extraction method for a single-diode photovoltaic array model.pdf","2015_Park_Choi_SOLENER_novel-datasheet-based.pdf","A novel datasheet-based parameter extraction method for a single-diode photovoltaic array model.md","2015_Park_Choi_SOLENER_novel-datasheet-based.md","renamed","","10.1016/j.solener.2015.11.001"
"2026-08-13T14:25:57.2679595+01:00","A review of solar energy modeling techniques.pdf","2012_Khatib_Sopian_RSER_review-solar-energy.pdf","A review of solar energy modeling techniques.md","2012_Khatib_Sopian_RSER_review-solar-energy.md","renamed","","10.1016/j.rser.2012.01.064"
"2026-08-13T14:25:57.2679595+01:00","A thermal model for photovoltaic panels under varying atmospheric conditions.pdf","2010_Armstrong_Hurley_APPLTHERM_thermal-model-photovoltaic.pdf","A thermal model for photovoltaic panels under varying atmospheric conditions.md","2010_Armstrong_Hurley_APPLTHERM_thermal-model-photovoltaic.md","renamed","","10.1016/j.applthermaleng.2010.03.012"
"2026-08-13T14:25:57.2679595+01:00","Accounting for Interference, Scattering, and Electrode Absorption to Make Accurate Internal Quantum Effi ciency Measurements in Organic and Other Thin Solar Cells.pdf","2010_Burkhard_McGehee_ADVMAT_Accounting-Interference.pdf","Accounting for Interference, Scattering, and Electrode Absorption to Make Accurate Internal Quantum Effi ciency Measurements in Organic and Other Thin Solar Cells.md","2010_Burkhard_McGehee_ADVMAT_Accounting-Interference.md","renamed","","10.1002/adma.201000883"
"2026-08-13T14:25:57.2679595+01:00","Accurate Optical Modeling of Monolithic Perovskite-Silicon Tandem Solar Cells.pdf","2022_Xu_DeWolf_PRXENERGY_Accurate-Optical.pdf","Accurate Optical Modeling of Monolithic Perovskite-Silicon Tandem Solar Cells.md","2022_Xu_DeWolf_PRXENERGY_Accurate-Optical.md","renamed","","10.1103/PRXEnergy.1.023005"
"2026-08-13T14:25:57.2679595+01:00","All-weather model for sky luminance distribution—Preliminary configuration and validation.pdf","","All-weather model for sky luminance distribution—Preliminary configuration and validation.md","","skipped","No DOI near paper header",""
"2026-08-13T14:25:57.2679595+01:00","Analysis of multicrystalline silicon solar cells by modified 3-diode equivalent circuit model taking leakage current through periphery into consideration.pdf","2007_Nishioka_Fuyuki_SOLMAT_Analysis-multicrystalline.pdf","Analysis of multicrystalline silicon solar cells by modified 3-diode equivalent circuit model taking leakage current through periphery into consideration.md","2007_Nishioka_Fuyuki_SOLMAT_Analysis-multicrystalline.md","renamed","","10.1016/j.solmat.2007.04.009"
"2026-08-13T14:25:57.2679595+01:00","Assessing the outdoor operating temperature of photovoltaic modules.pdf","2008_Faiman_Faiman_PIP_Assessing-outdoor.pdf","Assessing the outdoor operating temperature of photovoltaic modules.md","2008_Faiman_Faiman_PIP_Assessing-outdoor.md","renamed","","10.1002/pip.813"
"2026-08-13T14:25:57.2679595+01:00","Automated Defect Detection and Localization in Photovoltaic Cells Using Semantic Segmentation of Electroluminescence Images.pdf","2022_Fioresi_Davis_JPV_Automated-Defect.pdf","Automated Defect Detection and Localization in Photovoltaic Cells Using Semantic Segmentation of Electroluminescence Images.md","2022_Fioresi_Davis_JPV_Automated-Defect.md","renamed","","10.1109/JPHOTOV.2021.3131059"
"2026-08-13T14:25:57.2679595+01:00","A_Detailed_Full-Cell_Model_of_a_2018_Commercial_PERC_Solar_Cell_in_Quokka3.pdf","2018_Fell_Altermatt_JPV_Detailed-Full-Cell.pdf","A_Detailed_Full-Cell_Model_of_a_2018_Commercial_PERC_Solar_Cell_in_Quokka3.md","2018_Fell_Altermatt_JPV_Detailed-Full-Cell.md","renamed","","10.1109/JPHOTOV.2018.2863548"
"2026-08-13T14:25:57.2679595+01:00","a_general_approach_to_model_high_performance_pv_modules_for_accurate_energy_yield_simulations.pdf","","a_general_approach_to_model_high_performance_pv_modules_for_accurate_energy_yield_simulations.md","","skipped","DOI unresolved or title mismatch","10.4229/EUPVSEC2025/3AV.3.32"
"2026-08-13T14:25:57.2679595+01:00","Benchmarking equivalent circuit models for the IV characteristic of bifacial photovoltaic modules.pdf","2025_Bartholomaus_Spataru_EPJPV_Benchmarking-equivalent.pdf","Benchmarking equivalent circuit models for the IV characteristic of bifacial photovoltaic modules.md","2025_Bartholomaus_Spataru_EPJPV_Benchmarking-equivalent.md","renamed","","10.1051/epjpv/2024046"
"2026-08-13T14:25:57.2679595+01:00","Bifacial perovskite_silicon tandem solar cells.pdf","2022_DeBastiani_DeWolf_J_Bifacial-perovskite.pdf","Bifacial perovskite_silicon tandem solar cells.md","2022_DeBastiani_DeWolf_J_Bifacial-perovskite.md","renamed","","10.1016/j.joule.2022.05.014"
